user_id,first_name,last_name,contact,password,dob,ssn,username,type,gender,specialization
1,Alice,Elijah,333-555-1234,1234,03/11/2002,123-45-6789,Alice.Elijah,doctor,Female,Cardiology
2,Bob,Ava,333-555-5678,1234,21/02/1993,234-56-7890,Bob.Ava,doctor,Male,Orthopedics
3,Claire,Lucas,333-555-7890,1234,08/03/1994,345-67-8901,Claire.Lucas,doctor,Female,Neurology
4,David,Charlotte,333-555-2468,1234,14/12/2001,456-78-9012,David.Charlotte,doctor,Male,Pediatrics
5,Emma,Logan,333-555-1357,1234,19/12/1996,567-89-0123,Emma.Logan,doctor,Female,Anesthesiology
6,Frank,Amelia,333-555-8642,1234,01/11/2001,678-90-1234,Frank.Amelia,doctor,Male,Dermatology
7,Grace,Benjamin,333-555-9876,1234,21/11/1994,789-01-2345,Grace.Benjamin,patient,Female,
8,Henry,Harper,333-555-4321,1234,07/09/2000,890-12-3456,Henry.Harper,patient,Male,
9,Isabella,Mason,333-555-3698,1234,28/07/2002,901-23-4567,Isabella.Mason,patient,Female,
10,Jack,Evelyn,333-555-7801,1234,07/08/1997,210-43-5678,Jack.Evelyn,patient,Male,
11,Katherine,Ethan,333-555-6743,1234,14/05/1998,321-54-6789,Katherine.Ethan,patient,Female,
12,Liam,Abigail,333-555-9021,1234,07/02/1993,432-65-7890,Liam.Abigail,patient,Male,
13,Mia,Oliver,333-555-3456,1234,11/05/1995,543-76-8901,Mia.Oliver,patient,Female,
14,Noah,Emily,333-555-7891,1234,17/02/1994,654-87-9012,Noah.Emily,patient,Female,
15,Olivia,Jacob,333-555-6789,1234,23/04/1996,765-98-0123,Olivia.Jacob,patient,Female,
16,Patrick,Scarlett,333-555-2345,1234,18/11/1994,876-09-1234,Patrick.Scarlett,patient,Male,
17,Quinn,Aiden,333-555-8901,1234,21/04/2002,987-10-2345,Quinn.Aiden,patient,Male,
18,Rachel,Madison,333-555-4567,1234,26/11/1993,098-21-3456,Rachel.Madison,patient,Female,
19,Sophia,Carter,333-555-1111,1234,21/07/2001,907-32-4567,Sophia.Carter,patient,Female,
20,Thomas,Avery,333-555-9999,1234,25/09/1994,716-43-5678,Thomas.Avery,patient,Male,
21,Ursula,Sebastian,333-555-7777,1234,28/10/1996,625-54-6789,Ursula.Sebastian,patient,Female,
22,Victoria,Chloe,333-555-3333,1234,01/11/1996,534-65-7890,Victoria.Chloe,patient,Female,
23,William,Alexander,333-555-8888,1234,25/06/1998,443-76-8901,William.Alexander,patient,Male,
24,Xander,Grace,333-555-4444,1234,15/02/2002,352-87-9012,Xander.Grace,patient,Male,
25,Yasmine,Jayden,333-555-6666,1234,11/07/2000,261-98-0123,Yasmine.Jayden,patient,Female,
26,Zachary,Lily,333-555-2222,1234,21/09/1995,170-09-1234,Zachary.Lily,patient,Female,
27,Ursula,Chloe,333-555-2221,1234,27/03/1999,089-10-2345,Ursula.Chloe,patient,Female,
28,Grace,Emily,333-555-7980,1234,11/01/1997,998-21-3456,Grace.Emily,patient,Female,
29,Henry,Jacob,333-555-5552,1234,02/06/1993,887-32-4567,Henry.Jacob,patient,Male,
